2017-05-16 16:50:42 INFO  Homepage:37 - clicking on signin:[[ChromeDriver: chrome on XP (071ea84524e795a4417599b95f52e514)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-05-17 12:21:52 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 12:21:52 INFO  Homepage:45 - clicking on signin:[[OperaDriver: chrome on XP (2486db6a37882899b8412f668b852875)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:22:51 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 12:22:52 INFO  Homepage:45 - clicking on signin:[[OperaDriver: chrome on XP (8b958285eea5c7654acef5d86b8c6635)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:23:03 INFO  Homepage:56 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-17 12:25:15 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 12:25:15 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (4fc03d9369b38adc26a4fb38acb4d324)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:25:26 INFO  Homepage:56 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-17 12:27:11 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 12:27:11 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (1e7e8401de4b6fe662955bd73f6e6d41)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:27:22 INFO  Homepage:56 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-17 12:39:06 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 12:40:41 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 12:40:41 INFO  Homepage:46 - clicking on signin:[[ChromeDriver: chrome on XP (16038563684ff716ffe9746014dc3848)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:41:49 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 12:41:49 INFO  Homepage:46 - clicking on signin:[[ChromeDriver: chrome on XP (73d6207367a295118bd2df74763c007e)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:43:37 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 12:43:37 INFO  Homepage:46 - clicking on signin:[[ChromeDriver: chrome on XP (9191d56721bb43027d14a9bdc49f31f9)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 12:43:43 INFO  TC001_verifylogin_withinvalidcredentials:27 - verifying the alert message
2017-05-17 12:43:43 INFO  Homepage:57 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-17 13:14:07 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 13:14:07 INFO  Homepage:46 - clicking on signin:[[ChromeDriver: chrome on XP (65c03ec20b8685efd9c7a790a8dac75b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 13:14:13 INFO  TC001_verifylogin_withinvalidcredentials:27 - verifying the alert message
2017-05-17 13:14:13 INFO  Homepage:55 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-17 13:15:51 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 13:15:51 INFO  Homepage:46 - clicking on signin:[[ChromeDriver: chrome on XP (11513c5f8a8c67b2d9d999876a50ea22)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 13:15:57 INFO  TC001_verifylogin_withinvalidcredentials:27 - verifying the alert message
2017-05-17 13:15:57 INFO  Homepage:56 - alert text is:
2017-05-17 13:16:01 INFO  Homepage:62 - alert text is:Please enter valid Email Address.
2017-05-17 13:21:48 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 13:21:48 INFO  Homepage:50 - clicking on signin:[[ChromeDriver: chrome on XP (f51109e20c3b7d405ced766cbb69c509)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 13:21:54 INFO  TC001_verifylogin_withinvalidcredentials:27 - verifying the alert message
2017-05-17 13:21:54 INFO  Homepage:60 - alert text is:
2017-05-17 13:21:58 INFO  Homepage:66 - alert text is:Please enter valid Email Address.
2017-05-17 13:25:22 INFO  TC001_verifylogin_withinvalidcredentials:25 - calling verifying invalid method 
2017-05-17 13:25:22 INFO  Homepage:50 - clicking on signin:[[ChromeDriver: chrome on XP (2d8dd0a6f1522974c5a11abcec1a1f74)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 13:25:28 INFO  TC001_verifylogin_withinvalidcredentials:27 - verifying the alert message
2017-05-17 13:25:28 INFO  Homepage:60 - alert text is:
2017-05-17 13:25:32 INFO  Homepage:66 - alert text is:Please enter valid Email Address.
2017-05-17 19:56:43 INFO  TC001_verifylogin_withinvalidcredentials:35 - calling verifying invalid method 
2017-05-17 19:56:43 INFO  Homepage:57 - clicking on signin:[[ChromeDriver: chrome on XP (ef1e2401a2c704cbe366814a37e5fec8)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 19:56:50 INFO  TC001_verifylogin_withinvalidcredentials:37 - verifying the alert message
2017-05-17 19:56:50 INFO  Homepage:67 - alert text is:
2017-05-17 20:05:42 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 20:05:45 INFO  Homepage:57 - clicking on signin:[[ChromeDriver: chrome on XP (fa018d70762f435ccdf94e101ae0e473)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-17 20:07:14 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 20:07:18 INFO  Homepage:57 - clicking on signin:[[ChromeDriver: chrome on XP (e4a8fc83d7c3d74a68501402e8f44e81)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 11:25:18 INFO  Homepage:57 - clicking on signin:[[ChromeDriver: chrome on XP (5e237a7c793908fafb61a44eaa47b30b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 11:30:46 INFO  Homepage:57 - clicking on signin:[[ChromeDriver: chrome on XP (8d4925cd805a504e0fe12ac1f81bba49)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 12:06:31 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:06:41 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:10:01 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:12:03 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:12:13 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:17:15 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:17:24 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:17:33 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:17:42 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:19:50 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:22:57 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:23:12 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:23:27 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:23:42 INFO  Homepage:65 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:36:15 INFO  Homepage:76 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:36:24 INFO  Homepage:76 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:36:33 INFO  Homepage:76 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:36:42 INFO  Homepage:76 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:41:39 INFO  Homepage:78 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:41:49 INFO  Homepage:78 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:41:58 INFO  Homepage:78 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 12:42:07 INFO  Homepage:78 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:02:07 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:02:16 INFO  Homepage:79 - alert text is:
2017-05-18 13:02:16 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:02:25 INFO  Homepage:79 - alert text is:
2017-05-18 13:02:25 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:02:34 INFO  Homepage:79 - alert text is:
2017-05-18 13:02:34 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:02:42 INFO  Homepage:79 - alert text is:
2017-05-18 13:02:42 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:02:51 INFO  Homepage:79 - alert text is:
2017-05-18 13:02:51 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:02:59 INFO  Homepage:79 - alert text is:
2017-05-18 13:02:59 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (18756929b88b9e64109b22e4eba8ff8d)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:03:07 INFO  Homepage:79 - alert text is:
2017-05-18 13:07:49 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:07:56 INFO  Homepage:79 - alert text is:
2017-05-18 13:07:56 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:08:01 INFO  Homepage:79 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:08:05 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:08:10 INFO  Homepage:79 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:08:13 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:08:19 INFO  Homepage:79 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:08:22 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:08:28 INFO  Homepage:79 - alert text is:
2017-05-18 13:08:28 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:08:34 INFO  Homepage:79 - alert text is:
2017-05-18 13:08:34 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (e5782db5cae73161a781c4560fa8bc66)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:08:39 INFO  Homepage:79 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:11:20 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:11:30 INFO  Homepage:80 - alert text is:
2017-05-18 13:11:30 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:11:39 INFO  Homepage:80 - alert text is:
2017-05-18 13:11:39 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:11:48 INFO  Homepage:80 - alert text is:
2017-05-18 13:11:48 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:11:57 INFO  Homepage:80 - alert text is:
2017-05-18 13:11:57 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:12:05 INFO  Homepage:80 - alert text is:
2017-05-18 13:12:05 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:12:14 INFO  Homepage:80 - alert text is:
2017-05-18 13:12:14 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (652e7ee85a6240f84dbb278f3e0bd68b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:12:22 INFO  Homepage:80 - alert text is:
2017-05-18 13:15:21 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:32 INFO  Homepage:80 - alert text is:
2017-05-18 13:15:32 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:42 INFO  Homepage:80 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:15:42 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:52 INFO  Homepage:80 - alert text is:Sorry, unrecognized Email Address or Password
2017-05-18 13:15:52 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:53 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:53 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:54 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:20:22 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:20:35 INFO  Homepage:81 - alert text is:
2017-05-18 13:20:35 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:20:48 INFO  Homepage:81 - alert text is:
2017-05-18 13:20:48 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:01 INFO  Homepage:81 - alert text is:
2017-05-18 13:21:01 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:03 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:24:31 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:24:41 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:24:51 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:01 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:03 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:43 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:47 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:47 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:48 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:49 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:49 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:20:27 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (01b6da8976b31db04309eaad5187380b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:20:30 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (01b6da8976b31db04309eaad5187380b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:20:30 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (01b6da8976b31db04309eaad5187380b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:23:35 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (1ab6f8bb896e1adccde3d01ce8305eb7)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:23:38 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (1ab6f8bb896e1adccde3d01ce8305eb7)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:26:46 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (b1c608da4ce1211c101c8f1805374709)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:28:54 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (6b73121663389e34eec954c650a2980e)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:34:33 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (615046ca7a0cf4053026e2d93899209c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:43:29 INFO  Homepage:69 - clicking on email:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_username']]
2017-05-18 15:43:30 INFO  Homepage:71 - clicking on passwored:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_password']]
2017-05-18 15:43:30 INFO  Homepage:73 - clicking on signinbutton:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@value='Sign In']]
2017-05-18 15:43:40 INFO  Homepage:84 - alert text is:
2017-05-18 15:43:45 INFO  Homepage:69 - clicking on email:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_username']]
2017-05-18 15:43:46 INFO  Homepage:71 - clicking on passwored:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_password']]
2017-05-18 15:43:47 INFO  Homepage:73 - clicking on signinbutton:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@value='Sign In']]
2017-05-18 15:43:56 INFO  Homepage:84 - alert text is:
2017-05-18 15:44:03 INFO  Homepage:69 - clicking on email:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_username']]
2017-05-18 15:44:03 INFO  Homepage:71 - clicking on passwored:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_password']]
